counter,timestamp,deadtime,height_1,height_2,time_difference
9490.0,1770640794.1096935,0.009029415415166936,873.0,1488.0,-86.0
9493.0,1770640794.1139867,0.05557967867998263,3193.0,461.0,-85.0
9495.0,1770640794.1262105,0.008967073135905418,381.0,1431.0,-86.0
9501.0,1770640794.1545513,0.2032258064516129,1136.0,1469.0,-87.0
9504.0,1770640794.1610422,0.03532788695076176,450.0,205.0,-87.0
9505.0,1770640794.1621342,0.08115942028985507,666.0,1447.0,-85.0
9511.0,1770640794.1785145,0.20983318700614575,328.0,1515.0,-86.0
9513.0,1770640794.1999578,0.006124291715194263,758.0,1447.0,-230.0
9514.0,1770640794.207427,0.014272397055514481,1135.0,851.0,-86.0
9522.0,1770640794.2398388,0.035448275862068966,361.0,1420.0,-85.0
9527.0,1770640794.2592595,0.02196564348070966,311.0,1266.0,-86.0
9530.0,1770640794.2636824,0.029375879868606288,898.0,814.0,-86.0
9531.0,1770640794.2683063,0.016968501894037674,749.0,1508.0,-86.0
9538.0,1770640794.2978814,0.8152969894222946,310.0,592.0,-106.0
9539.0,1770640794.2986133,0.1608300907911803,492.0,277.0,-86.0
9541.0,1770640794.3002226,0.04706747563890421,894.0,1217.0,-86.0
9542.0,1770640794.3027687,0.022192716236722306,1533.0,234.0,-86.0
9546.0,1770640794.3143938,0.02528205550522935,698.0,241.0,-381.0
9555.0,1770640794.3403087,0.040364378828333596,721.0,1377.0,-85.0
9560.0,1770640794.3493772,0.01783901377810007,742.0,448.0,-86.0
9561.0,1770640794.3496003,0.16039823008849557,195.0,1757.0,-60.0
9563.0,1770640794.3520155,0.017862907564833747,978.0,469.0,-87.0
9569.0,1770640794.3692682,0.010310003870649917,1024.0,962.0,-86.0
9571.0,1770640794.3773632,0.014268673151036887,1228.0,1413.0,-86.0
9584.0,1770640794.4866505,0.00914380714879468,646.0,1496.0,-86.0
9588.0,1770640794.5105875,0.07644882860665844,639.0,623.0,-86.0
9591.0,1770640794.5180967,0.2213302752293578,1140.0,1488.0,-87.0
9592.0,1770640794.524331,0.01760171798903248,243.0,1424.0,-86.0
9598.0,1770640794.5511768,0.0589010989010989,585.0,1496.0,-86.0
9601.0,1770640794.5648453,0.008513425016371971,1138.0,786.0,-85.0
9602.0,1770640794.5680764,0.023156793904534248,220.0,4157.0,-86.0
9604.0,1770640794.594412,0.006807800421644413,450.0,1501.0,-85.0
9610.0,1770640794.649408,0.008611955420466059,673.0,1477.0,-86.0
9613.0,1770640794.6622698,0.01824515824279641,199.0,603.0,-86.0
9616.0,1770640794.6776106,0.007677921055221971,295.0,1448.0,-91.0
9621.0,1770640794.7054055,0.11504747991234478,404.0,1471.0,-85.0
9625.0,1770640794.7233315,0.008133187772925763,223.0,760.0,-87.0
9630.0,1770640794.7396014,0.009447858993244273,373.0,278.0,-88.0
9632.0,1770640794.7541723,0.01221087995865099,550.0,1501.0,-86.0
9633.0,1770640794.7548442,0.06742396482227922,407.0,1111.0,-85.0
9634.0,1770640794.7597373,0.009247932671135686,1136.0,427.0,-86.0
9643.0,1770640794.790582,0.026591664535924316,1132.0,862.0,-85.0
9644.0,1770640794.7945938,0.01869046905888696,662.0,931.0,272.0
9645.0,1770640794.7948792,0.30112570356472795,1135.0,1441.0,-87.0
9649.0,1770640794.8067296,0.23184079601990049,2392.0,733.0,134.0
9650.0,1770640794.8103988,0.020227642276422764,861.0,823.0,-87.0
9651.0,1770640794.8111544,0.1111111111111111,214.0,1495.0,255.0
9653.0,1770640794.8176744,0.018981452763476212,1126.0,1524.0,-86.0
9656.0,1770640794.8313646,0.01513711870515383,394.0,649.0,-85.0
9658.0,1770640794.8346522,0.09205548549810845,1138.0,1476.0,-86.0
9660.0,1770640794.8430068,0.047661390716699274,424.0,758.0,-86.0
9665.0,1770640794.8604243,0.024331433581762384,368.0,1466.0,-85.0
9669.0,1770640794.8735807,0.0802155992390615,546.0,1464.0,-86.0
9674.0,1770640794.8894732,0.010588578939681612,547.0,764.0,-87.0
9676.0,1770640794.896191,0.03880687870948105,615.0,216.0,-84.0
9679.0,1770640794.9012494,0.019573138990109318,244.0,374.0,-88.0
9680.0,1770640794.9069636,0.01340828648761191,982.0,1436.0,-86.0
9689.0,1770640794.9402866,0.01593504186754631,807.0,2384.0,-87.0
9693.0,1770640794.9473116,0.03883251910309408,364.0,2266.0,-114.0
9701.0,1770640794.9768176,0.05001634521085322,470.0,1514.0,-86.0
9706.0,1770640794.989059,0.05712219812002892,874.0,3472.0,-85.0
9710.0,1770640794.9964666,0.046352723915050784,250.0,554.0,-175.0
9715.0,1770640795.0147567,0.023995271867612293,1133.0,1511.0,-86.0
9716.0,1770640795.0225291,0.013980415101311818,742.0,379.0,-86.0
9722.0,1770640795.045753,0.012049730668096295,453.0,1521.0,-92.0
9724.0,1770640795.0538185,0.026116769184229102,376.0,488.0,-87.0
9727.0,1770640795.0615315,0.08015805814281682,545.0,653.0,-155.0
9728.0,1770640795.0624568,0.0686431623931624,579.0,1284.0,-86.0
9730.0,1770640795.0730922,0.01339785186842694,483.0,610.0,-84.0
9734.0,1770640795.0821416,0.030303030303030304,199.0,1428.0,-86.0
9735.0,1770640795.0897894,0.02338046391276222,722.0,1555.0,-85.0
9737.0,1770640795.0917013,0.28517397881996975,463.0,415.0,-86.0
9742.0,1770640795.1047335,0.030741190765492102,788.0,1358.0,-86.0
9743.0,1770640795.105041,0.21694915254237288,714.0,815.0,-86.0
9752.0,1770640795.13541,0.03519369665134603,304.0,584.0,-86.0
9755.0,1770640795.149025,0.17926089354660782,389.0,801.0,-86.0
9756.0,1770640795.1494613,0.18549346016646848,730.0,1512.0,-88.0
9758.0,1770640795.1596355,0.21375186846038863,457.0,786.0,-85.0
9762.0,1770640795.165042,0.18476357267950963,1134.0,582.0,-86.0
9763.0,1770640795.1750782,0.012704859963160628,1142.0,348.0,-85.0
9767.0,1770640795.2055817,0.007206762232973744,1137.0,1402.0,-86.0
9770.0,1770640795.218625,0.02969575514665695,717.0,1462.0,-86.0
9773.0,1770640795.229347,0.023147474159266268,550.0,397.0,-87.0
9776.0,1770640795.240346,0.051741698920350375,1290.0,224.0,-86.0
9782.0,1770640795.2708347,0.15757266700662928,343.0,612.0,-85.0
9787.0,1770640795.2782812,0.055323819978046106,529.0,1463.0,-85.0
9792.0,1770640795.2992263,0.18995098039215685,652.0,1460.0,-87.0
9793.0,1770640795.3002257,0.06336088154269973,608.0,1528.0,-86.0
9794.0,1770640795.305094,0.0140269711585786,725.0,1493.0,-86.0
9796.0,1770640795.3150501,0.028255528255528257,2217.0,880.0,-86.0
9798.0,1770640795.3209698,0.020342294135133988,1137.0,559.0,-88.0
9799.0,1770640795.3218875,0.08932150014314343,268.0,3591.0,-84.0
9800.0,1770640795.3233752,0.03867129400099157,469.0,1480.0,-84.0
9802.0,1770640795.3256526,0.02292845740821361,251.0,1440.0,-85.0
9806.0,1770640795.3308766,0.014111229692873236,365.0,688.0,-86.0
9807.0,1770640795.3370802,0.005854034276911227,293.0,1406.0,-86.0
9808.0,1770640795.3374283,0.10057887120115774,397.0,1479.0,-99.0
9821.0,1770640795.3668926,0.012804824753081024,652.0,1464.0,-90.0
9822.0,1770640795.3677614,0.10962732919254659,1128.0,1474.0,-86.0
9828.0,1770640795.4370487,0.03642671292281006,205.0,1465.0,-85.0
9836.0,1770640795.4543366,0.03833333333333333,483.0,1472.0,-85.0
9845.0,1770640795.4847362,0.08048224177256436,360.0,1095.0,-85.0
9856.0,1770640795.5148122,0.12066438690766976,379.0,1408.0,-86.0
9859.0,1770640795.523035,0.05314176908429981,872.0,1225.0,-87.0
9860.0,1770640795.525024,0.03081645181092695,762.0,771.0,-86.0
9861.0,1770640795.531589,0.010415907932114502,1988.0,260.0,-86.0
9867.0,1770640795.554811,0.015173092359079257,641.0,771.0,-87.0
9868.0,1770640795.558193,0.02152656158785756,1704.0,771.0,-84.0
9869.0,1770640795.558785,0.15564681724845997,425.0,1423.0,-87.0
9870.0,1770640795.5598736,0.0715439649203785,514.0,1425.0,-477.0
