x,y_fit,uncertainty
6.400000000000000000e+01,2.809333134580888327e+02,2.353517749759470867e-01
6.500000000000000000e+01,2.794740398727985848e+02,2.345823335080141903e-01
6.600000000000000000e+01,2.780147662875082801e+02,2.338144083015659125e-01
6.700000000000000000e+01,2.765554927022179754e+02,2.330480143431976903e-01
6.800000000000000000e+01,2.750962191169277276e+02,2.322831667894875163e-01
6.900000000000000000e+01,2.736369455316374228e+02,2.315198809665126589e-01
7.000000000000000000e+01,2.721776719463471750e+02,2.307581723694013265e-01
7.100000000000000000e+01,2.707183983610568703e+02,2.299980566752423128e-01
7.200000000000000000e+01,2.692591247757666224e+02,2.292395497204106070e-01
7.300000000000000000e+01,2.677998511904763177e+02,2.284826675334833967e-01
7.400000000000000000e+01,2.663405776051860130e+02,2.277274263126111420e-01
7.500000000000000000e+01,2.648813040198957651e+02,2.269738424384291908e-01
7.600000000000000000e+01,2.634220304346054604e+02,2.262219324736522985e-01
7.700000000000000000e+01,2.619627568493151557e+02,2.254717131627027860e-01
7.800000000000000000e+01,2.605034832640249078e+02,2.247232014423030388e-01
7.900000000000000000e+01,2.590442096787346600e+02,2.239764144301391313e-01
8.000000000000000000e+01,2.575849360934443553e+02,2.232313694354685907e-01
8.100000000000000000e+01,2.561256625081540506e+02,2.224880839587540793e-01
8.200000000000000000e+01,2.546663889228638027e+02,2.217465756913278296e-01
8.300000000000000000e+01,2.532071153375734980e+02,2.210068625258901354e-01
8.400000000000000000e+01,2.517478417522832217e+02,2.202689625453284616e-01
8.500000000000000000e+01,2.502885681669929454e+02,2.195328940332237078e-01
8.600000000000000000e+01,2.488292945817026407e+02,2.187986754724317584e-01
8.700000000000000000e+01,2.473700209964123928e+02,2.180663255501262277e-01
8.800000000000000000e+01,2.459107474111220881e+02,2.173358631574541233e-01
8.900000000000000000e+01,2.444514738258318118e+02,2.166073073892183509e-01
9.000000000000000000e+01,2.429922002405415355e+02,2.158806775488921748e-01
9.100000000000000000e+01,2.415329266552512593e+02,2.151559931482843191e-01
9.200000000000000000e+01,2.400736530699609546e+02,2.144332739135607624e-01
9.300000000000000000e+01,2.386143794846706783e+02,2.137125397796107995e-01
9.400000000000000000e+01,2.371551058993804020e+02,2.129938109002642577e-01
9.500000000000000000e+01,2.356958323140901257e+02,2.122771076426590298e-01
9.600000000000000000e+01,2.342365587287998494e+02,2.115624505921520904e-01
9.700000000000000000e+01,2.327772851435095731e+02,2.108498605571616502e-01
9.800000000000000000e+01,2.313180115582192684e+02,2.101393585635636940e-01
9.900000000000000000e+01,2.298587379729289921e+02,2.094309658647113825e-01
1.000000000000000000e+02,2.283994643876387158e+02,2.087247039358195166e-01
1.010000000000000000e+02,2.269401908023484395e+02,2.080205944787371364e-01
1.020000000000000000e+02,2.254809172170581633e+02,2.073186594266396565e-01
1.030000000000000000e+02,2.240216436317678586e+02,2.066189209394447557e-01
1.040000000000000000e+02,2.225623700464775823e+02,2.059214014084801703e-01
1.050000000000000000e+02,2.211030964611873060e+02,2.052261234610646135e-01
1.060000000000000000e+02,2.196438228758970297e+02,2.045331099548817755e-01
1.070000000000000000e+02,2.181845492906067534e+02,2.038423839865758647e-01
1.080000000000000000e+02,2.167252757053164771e+02,2.031539688901228824e-01
1.090000000000000000e+02,2.152660021200261724e+02,2.024678882352251574e-01
1.100000000000000000e+02,2.138067285347358961e+02,2.017841658357072132e-01
1.110000000000000000e+02,2.123474549494456198e+02,2.011028257438032263e-01
1.120000000000000000e+02,2.108881813641553435e+02,2.004238922544547552e-01
1.130000000000000000e+02,2.094289077788650673e+02,1.997473899094998617e-01
1.140000000000000000e+02,2.079696341935747910e+02,1.990733434919108313e-01
1.150000000000000000e+02,2.065103606082844863e+02,1.984017780348326376e-01
1.160000000000000000e+02,2.050510870229942100e+02,1.977327188157473048e-01
1.170000000000000000e+02,2.035918134377039337e+02,1.970661913604617177e-01
1.180000000000000000e+02,2.021325398524136574e+02,1.964022214469701433e-01
1.190000000000000000e+02,2.006732662671233811e+02,1.957408350995345769e-01
1.200000000000000000e+02,1.992139926818330764e+02,1.950820585972783683e-01
1.210000000000000000e+02,1.977547190965428001e+02,1.944259184681673136e-01
